id,title,content,department
24,Incident Response Procedure,Security incidents must be reported within one hour.,security
25,Access Control Standards,Role based access control is enforced across systems.,security
46,RAG System Architecture,The AI platform uses retrieval augmented generation for enterprise search.,ai
14,Database Backup Policy,Production databases are backed up daily.,it
5,Remote Work Guidelines,Employees may work remotely up to three days per week.,hr
32,Expense Reimbursement Policy,Business expenses are reimbursed upon approval.,finance
3,Maternity Leave Policy,Eligible employees receive maternity leave benefits according to company regulations.,hr
8,Performance Review Cycle,Performance reviews are conducted twice annually.,hr
47,Vector Database Operations,FAISS indexes are refreshed weekly.,ai
45,Risk Assessment Framework,Enterprise risks are reviewed semi-annually.,compliance
50,Enterprise Analytics Platform,Business dashboards provide real-time operational insights.,ai
20,Data Warehouse Guidelines,Analytics datasets are stored in centralized warehouses.,it
36,Customer Support SLA,Critical issues require responses within one hour.,support
43,Audit Preparation Checklist,Departments maintain audit-ready documentation.,compliance
23,Multi Factor Authentication Policy,All enterprise accounts require MFA.,security
21,Cybersecurity Awareness Training,Employees complete security awareness training every six months.,security
39,Customer Feedback Program,Customer feedback is analyzed monthly.,support
41,GDPR Compliance Guidelines,Personal data processing follows GDPR regulations.,compliance
38,Knowledge Base Maintenance,Documentation is reviewed quarterly.,support
44,Regulatory Reporting Standards,Compliance reports are submitted quarterly.,compliance
2,Sick Leave Policy,Employees may take up to 12 sick leaves annually with medical documentation when required.,hr
15,Disaster Recovery Plan,Critical systems must be recoverable within four hours.,it
7,Employee Onboarding Process,New employees must complete onboarding within seven days.,hr
10,Code of Conduct,All employees must comply with workplace ethics and conduct standards.,hr
17,Software Release Process,Releases follow CI CD pipelines with automated testing.,it
34,Capital Expenditure Policy,Major purchases require executive approval.,finance
42,Data Retention Policy,Enterprise records are retained according to legal requirements.,compliance
49,Model Monitoring Framework,Production models are monitored for drift and latency.,ai
12,Data Lake Architecture,Enterprise data is organized using Bronze Silver and Gold layers.,it
27,Vendor Security Assessment,Third-party vendors undergo annual security reviews.,security
30,Security Audit Guidelines,Quarterly audits evaluate compliance with security controls.,security
28,Phishing Prevention Program,Employees participate in phishing simulation exercises.,security
48,ML Model Deployment Process,Models are deployed through MLflow-managed pipelines.,ai
18,Network Monitoring Policy,Network traffic is monitored continuously for anomalies.,it
35,Procurement Workflow,Purchases above threshold values require multi-level approval.,finance
11,Cloud Migration Strategy,Legacy workloads are migrated to AWS cloud infrastructure.,it
40,Support Analytics Dashboard,Support KPIs are tracked in real time.,support
6,Hybrid Work Policy,Teams must maintain at least two in-office collaboration days weekly.,hr
16,Server Maintenance Schedule,Servers undergo monthly maintenance and patching.,it
13,API Development Standards,REST APIs must comply with OpenAPI specifications.,it
1,Annual Leave Policy,Employees are entitled to 24 annual paid leaves per calendar year.,hr
33,Financial Reporting Standards,Monthly reports are reviewed by senior leadership.,finance
22,Password Management Policy,Passwords must contain at least twelve characters.,security
4,Paternity Leave Policy,Eligible employees are granted paternity leave after childbirth.,hr
37,Ticket Escalation Process,Unresolved tickets escalate after defined thresholds.,support
26,Data Encryption Policy,Sensitive data must be encrypted at rest and in transit.,security
31,Budget Planning Process,Departments submit quarterly budget forecasts.,finance
9,Learning and Development Policy,Employees receive annual training budgets for professional development.,hr
19,Microservices Architecture,Applications are deployed as containerized microservices.,it
29,Endpoint Protection Policy,All devices require approved endpoint security software.,security
